"campaign_id"	"title"	"sent"	"to_send"	"recipients"	"lists_excl"	"opens_count"	"unique_opens"	"text"
25	"GURU 2018 - SUA MAIOR CHANCE É AGORA"	2018-04-08	366	366	""	181	119	"   Graande [Name,fallback=]!  Vi que você entrou recentemente na Lista Vip do Guru, então vou te atualizar sobre tudo do site:  Faltam exatos 6 dias para começar o Cartola.     ANSIEDADE MONSTRA!!     Por aqui, na Gurulândia, a preparação tá firme e acelerada pra entrarmos em campo!     Marcamos até  data  para a INAUGURAÇÃO DO NOSSO SITE!!     Vou te falar o que tem no próximo vídeo e você vai entender porque  precisa assistir de qualquer jeito :     -> vou te falar como funciona a valorização na 3a rodada, com certeza é a mais complicada de todas!     -> Dedurei tudo que teremos na nova versão do site Guru do Cartola 2018!!! Lá no vídeo explico sobre cada página nova.     -> É super importante você assistir, porque são páginas que você nunca viu antes em lugar nenhum. Então você vai entender melhor.      -> Você vai saber exatamente o que fazer para usar tudo o que o Guru pode te oferecer e  ganhar as suas ligas .     Corre lá e depois me conta o que achou, [Name,fallback=]!  Quero saber!     https://youtu.be/9qbfKdN1Ho4     Esse vídeo é exclusivo, então em breve vou ter que tirar do ar. Corre lá!     Grande abraço!                               .    .   Caso não queira receber nossos e-mails, clique em  sair .    "
26	"GURU 2018 - QUANDO SERÁ O LANÇAMENTO?"	2018-04-09	11439	11439	""	1839	1382	"   Faaala [Name,fallback=]!  Tudo bem por aí? Quero te falar sobre o lançamento do GURU 2018!  Estou recebendo centenas de e-mails e mensagens nas redes sociais cobrando o site novo.  A previsão era que tudo ficasse pronto hoje. Vocês tem razão!  E já estamos quase lá!  Já está 99% mitagem, mas ainda resta aquele 1%...   Trabalhamos intensamente nas últimas semanas e estamos muito ansiosos pelo lançamento.  A nova previsão é que o lançamento seja amanhã.  Fiquem tranquilos que enviarei e-mail e você poderá correr pra ver tudo que o GURU 2018 vai oferecer.      Grande abraço!                               .    .   Caso não queira receber nossos e-mails, clique em  sair .    "
29	"A espera acabou - hora de..."	2018-04-10	11423	11423	""	3137	2103	"   Graaande [Name,fallback=],     Estou MUITO feliz de poder compartilhar com você em primeira mão essa novidade.     Parabéns por sair na frente de muitos cartoleiros antes do campeonato começar!     O GURU 2018 ESTÁ NO AR!!!     E, como eu prometi, você terá acesso ao site antes da grande massa de cartoleiros.      Aproveite tudo que o site oferece para sair na frente, valorizar e depois ganhar suas ligas!!     Caso queira dar uma passo GIGANTE para suas conquistas e fazer parte do TIME GURU, lembre se:      - Você terá acesso a um lote promocional exclusivo!        - Realmente é uma oferta irrecusável!       - Porém, quando o campeonato começar o preço será outro. Beleza?      Aproveite o site: www.gurudocartola.com      Grande abraço!                               .    .   Caso não queira receber nossos e-mails, clique em  sair .    "
30	"Se liga nessa novidade"	2018-04-10	5609	5609	""	767	590	"   E aiii Guruzaaada,     Estou MUITO feliz de poder compartilhar com você em primeira mão essa novidade.     Parabéns por sair na frente de muitos cartoleiros antes do campeonato começar!     O GURU 2018 ESTÁ NO AR!!!     E, como eu prometi, você terá acesso ao site antes da grande massa de cartoleiros.      Aproveite tudo que o site oferece para sair na frente, valorizar e depois ganhar suas ligas!!     Caso queira dar uma passo GIGANTE para suas conquistas e fazer parte do TIME GURU, lembre se:      - Você terá acesso a um lote promocional exclusivo!        - Realmente é uma oferta irrecusável!       - Porém, quando o campeonato começar o preço será outro. Beleza?      Aproveite o site: www.gurudocartola.com      Grande abraço!                               .    .   Caso não queira receber nossos e-mails, clique em  sair .    "
31	"Até a minha mãe já sabia..."	2018-04-12	17026	17026	""	3562	2510	"    Eu não sei como era com você, mas quando eu era criança isso aconteceu muito comigo.     Sempre que me arrependia de alguma coisa, minha mãe chegava e falava:     - Eu te avisei menino, mas você não tem ouvido!     Já aconteceu isso com você???    Não quero ser aquele amigo chato, mas como um bom amigo, preciso te avisar!      Criei essa promoção de R$ 47,00 para o pessoal que acompanha o Guru do Cartola desde o ano passado e sempre me deu muita força. É um pagamento único para todo o campeonato.  Isso dá menos de R$ 1,25 por rodada.      Mas a verdade é que é impossível pagar as contas do site com esse valor.     Desenvolvedor do site, do aplicativo, servidor para receber quase 10 milhões de visitas, etc...  É muita coisa....     Por isso, o valor do TIME GURU vai aumentar  antes do campeonato começar !!     Então, se você quer ter esse serviço totalmente diferenciado para ganhar as suas ligas, quero te avisar:         - Agora é a sua melhor oportunidade para fazer parte do TIME GURU.     Assista na página &quot;Participar do Time Guru&quot; o vídeo que fiz explicando tudo o que te espera!   Lembrando que como eu tenho certeza absoluta da experiência incrível que você terá e do quanto você vai adorar fazer parte do Time Guru, eu estou te dando 15 dias de garantia total para testar e usar à vontade.     Se dentro desse período, por qualquer motivo, você achar que o serviço não te trouxe mil vezes mais valor que o valor investido, eu te devolvo 100% do seu dinheiro, centavo por centavo. E continuamos amigos e parceiros.     Vem pro TIME!!     www.gurudocartola.com/time-guru       Grande abraço!                           .    .   Caso não queira receber nossos e-mails, clique em  sair .    "
32	"PREMIAÇÃO GURU 2018 - LIGA GRÁTIS"	2018-04-12	16975	16975	""	2288	1725	"    Guruzada!!     Tá chegandoo!! Vamo que vamo!! Passando rapidinho só pra te avisar que hoje a noite às 20:30 (horário de brasília) tem LIVE  no instagram @gurudocartola.      Vou explicar como funciona a nossa liga!      Vou falar exatamente o que você precisa fazer para ganhar muitos pontos no site do Guru e sair na frente!!      IMPORTANTE: A liga é GRATUITA e dá CAMISA todo mês!      Não tem como ficar de fora!!!     Te espero às 20:30!       Grande abraço!                               .    .   Caso não queira receber nossos e-mails, clique em  sair .    "
34	" [Abra!] Uma má notícia, infelizmente…"	2018-04-13	17201	17201	""	3056	2368	"    Opa, aqui é o Luís, do Guru do Cartola, e eu tenho uma boa e uma má notícia para te dar hoje.  [---------A BOA NOTÍCIA---------]   A boa notícia é que a estréia do site Guru do Cartola 2018 - terça-feira desse semana - foi um verdadeiro sucesso!  8.226 pessoas acessaram o site em 3 dias.     Que felicidade poder ver a Nação Cartoleira aquecendo os motores pra entrarmos em campo MITANDO nessa primeira rodada.     Além disso, já temos um time fortíssimo compondo o TIME GURU!      A galera está interagindo muito nas avaliações dos times e fazendo COMENTÁRIOS DE ALTÍSSIMO NÍVEL!!     Se você ainda não sabe, quem é TIME GURU pode enviar o seu time para avaliação de outros mitos. E esse é só um dos benefícios...      [-------A MÁ NOTÍCIA--------]     Ano passado o Guru caiu nas graças dos Cartoleiros.     Tivemos quase 10 milhões de acessos e atendemos 726.658 cartoleiros fanáticos que queriam ver a valorização do seu time em tempo real, além de saber a pontuação mínima para seus jogadores valorizarem na hora de escalar seu time...    Mas a verdade é que fazer um site desse nível, com a enorme diversidade de dados, que extrai conteúdo de várias fontes diferentes, manter uma estrutura e um servidor que se mantenha estável mesmo com milhares de acessos ao mesmo tempo, é algo extremamente trabalhoso e caro.   Para ser possível continuar oferecendo esses serviços e muitos outros EXCLUSIVOS, esse ano criamos o Time Guru.     Um grupo de membros que terá acesso a conteúdo rico, que não se encontra em nenhum outro site...     Por gratidão, para a guruzada que acompanha o Guru desde o ano passado, e nos deu muita força para continuar esse ano e ser ainda melhor, fizemos uma promoção pornográfica.     Pelo valor de R$ 47,00 pela TEMPORADA INTEIRA!  Menos de 1,25 por rodada ... Se fosse por 1 mês, já valeria muito a pena!!!    Só que é impossível manter o site funcionando com esse valor... Por isso esse valor será mantido por mais 24 horas. SÓ 24 HORAS. (DEPOIS QUE O MERCADO FECHAR NÃO ADIANTA MAIS!!)    Amanhã o Cartola começa de verdade e muita gente conhecerá o Guru.  Já será outro valor.   Por isso, se você e está realmente comprometido em MITAR esse ano, ganhas suas ligas, se divertir, resenhar com os amigos, agora é o momento de você entrar para o Time Guru!     E como fazer isso?   Basta ir em www.gurudocartola.com/time-guru e realizar sua inscrição.     Assim que seu pagamento for computado pelo sistema, você receberá acesso imediato a todo o Arsenal da Mitagem!   Agora, que eu já te falei da má notícia, eu queria voltar e complementar a boa notícia.      Além de tudo que o Guru oferece, você poderá participar da Liga do Guru, concorrendo a camisa oficial do seu time TODO MÊS e um PS4 no fim do ano!!!    Resumindo:  Se você está determinado a MITAR no Cartola em 2018...  Se você já conhece o trabalho exclusivo e inédito do Guru....  Se você quer criar sua mitagem ao invés de apenas contar com a sorte...  Venha agora mesmo pro TIME!!!      Abraço,  Luís, do Guru do Cartola                                  .  .  Caso não queira receber nossos e-mails, clique em  sair .    "
36	"TIME GURU - 1a Rodada"	2018-04-14	297	297	""	384	205	"    Graaaande [Name,fallback=],     Primeiramente, seja MUITO bem-vindo ao TIME GURU.     Você é um grande reforço para o Time!!      Estou passando para avisar que as seleções foram atualizadas e estão no site para todos que fazem parte do Time Guru!      O nosso objetivo agora é acumular algumas cartoletas, tanto com o Time Valorização quanto com a Seleção do Guru.     Talvez o Time Valorização esteja arriscando um pouquinho mais...       IMPORTANTE: Não se esqueça de escalar o seu time no Cartola! Caso você tenha enviado o seu time para avaliação, saiba que o Guru do Cartola NÃO envia o seu time para o site/app do Cartola FC.     No mais, muito obrigado pela sua participação no site! Estou aqui impressionado com a quantidade de comentários de alto nível na avaliação dos times!     Daqui a pouco começa! Vamo que vamo!      Abraço,  Luís, do Guru do Cartola                                  .  .  Caso não queira receber nossos e-mails, clique em  sair .    "
38	"3 horas para acabar, esse é seu último lembrete"	2018-04-14	17171	17171	""	3079	2285	"     Nossa, como foi intensa essa última semana... 17.563 acessos ao site em apenas QUATRO dias sem campeonato ainda!!!!  Mas agora que dei uma respirada, eu gostaria de tirar uns minutos para te agradecer por você ter compartilhado comigo toda a jornada do Guru do Cartola em 2017 e a nova jornada de 2018 que se iniciou essa semana...   MUITO OBRIGADO!   Sabe, quando eu paro e penso em tudo que aconteceu, eu realmente fico louco pensando como é sensacional essa comunidade de Cartoleiros... e é excelente fazer parte disso.  Continuar com o site Guru do Cartola é um sonho, que, sinceramente, pensei que não fosse ser possível!  Mas lembrar de como vocês cartoleiros nos deram força ano passado, apoiaram o Guru, foram seguidores fiéis e adoraram ter o que o Guru oferecia, nos deu força pra continuar, reinventar e melhorar ainda mais o site para a Temporada 2018 do Campeonato Brasileiro!  Afinal, futebol é nossa paixão, né?  Então, agora é hora de focar na primeira rodada, talvez o momento mais importante de todo o campeonato, pois é fundamental acumular cartoletas agora pra ficar tranquilo durante o campeonato e conseguir comprar quem quisermos e pontuar bem!   Mas eu gostaria de te lembrar que neste momento faltam poucas horas para o fechamento do mercado e também para o término da promoção imperdível para fazer parte do Time Guru! Assim que o mercado fechar, o valor vai aumentar.   Como já te disse, fiz uma promoção de amigo pra amigo mesmo. Nenhum outro site oferece o que o Time Guru tem, mas se você tivesse que assinar vários sites de cartola para ir pegando as informações &quot;soltas&quot;, daria muito, mas MUITO mais caro.    O preço agora é R$ 47,00. Por TODA a temporada!  Por isso, se este ano você está comprometido em  ganhar as ligas  que disputa...  se você quer saber antes de todo mundo a valorização esperada e a pontuação esperada para todos os jogadores,  além da  pontuação mínima que cada jogador precisa fazer pra valorizar ,  se você quer ter acesso à análise detalhada de cada jogador para escalar seu time com inteligência e segurança  e AINDA se quer ter  o seu time avaliado  pela guruzada  e concorrer a  camisas oficiais TODO MÊS  e um  PLAYSTATION 4  no final do ano...   não perca essa oportunidade e clique agora mesmo no link abaixo. VEM PRO TIME!!!     https://gurudocartola.com   - Clique em FAÇA PARTE DO TIME GURU - para conhecer mais     Já somos mais de 300 cartoleiros fanáticos que estão prontos pra mitar!!!   Vai ficar de fora?     Obs.: Lembrando que como eu tenho certeza que você irá adorar ser Time Guru, eu estou te dando 15 dias de garantia para testar o serviço à vontade. Se dentro desse período achar que não valeu a pena, basta pedir seu dinheiro de volta e te devolveremos centavo por centavo. Sem nenhuma burocracia. Sem ressentimentos.  Obs.2: Caso tenha qualquer dúvida, minha equipe está pronta para te ajudar, basta mandar por este email.  QUE COMECEM OS JOGOS!   RUMO A MITAGEM!          Abraço,  Luís, do Guru do Cartola                                  .  .  Caso não queira receber nossos e-mails, clique em  sair .    "
42	"NOSSO PLANO PARA VALORIZAR NA 2ª RODADA"	2018-04-20	30669	30669	""	8583	5870	"     Graaaande [Name,fallback=],  Tudo certo para MITAR na segunda rodada?     Espero que você tenha mandado bem na primeira!     Masss... Caso não tenho ido bem ou perdido algumas cartoletas,  não desanime !     Ainda tem muito campeonato pela frente e  vamos te ajudar a ganhar muitas cartoletas !!     Recebi MUITAS dúvidas no Facebook, Instagram e e-mail. Infelizmente não tem como responder a todas.      Então, gravei um vídeo de 5 minutos com tudo que você precisa saber para ganhar cartoletas na 2&ordf; rodada!      No vídeo eu falo sobre o Júlio César, como funciona a valorização da segunda rodada, o que você NÃO pode fazer... e mais!      Confere aí!!      https://youtu.be/Jhr23-Qb_5s         Grande abraço,      Luís, do Guru do Cartola                                  .  .  Caso não queira receber nossos e-mails, clique em  sair .    "
44	"3ª RODADA - COMO FUNCIONA A VALORIZAÇÃO"	2018-04-25	788	788	""	890	467	"     Graaaande [Name,fallback=],  E aí TIME GURU!!     Começo de campeonato à MIL, Time Guru está com uma média altíssima!!! Parabéns galera!!     A terceira rodada é a mais difícil de escalar, se pensarmos na valorização dos jogadores.     Por isso, gravei esse vídeo para vocês! Explicando tudo como funciona!         Confere aí e vamos pra cima!!      https://youtu.be/nH0y9R52lWE         Grande abraço,      Luís, do Guru do Cartola                                  .  .  Caso não queira receber nossos e-mails, clique em  sair .    "
46	"3ª RODADA - O QUE NINGUÉM TE CONTA"	2018-04-26	94217	94217	""	27078	19876	"     Graaaande [Name,fallback=],   Resolvi gravar esse vídeo para mostrar minha gratidão e tanto que estou feliz com a participação de vocês no Guru do Cartola!     Em apenas 2 rodadas, 301.188 cartoleiros apaixonados já usaram o site! E isso é só o começo..!      Bem...a terceira rodada é a mais difícil de escalar, se pensarmos na valorização dos jogadores.      Circulam muitas notícias e teorias por aí. E a maioria é FALSA!     E vou aproveitar para deixar aqui um lembrete, pra depois você  não reclamar  que eu não avisei:      Esse ano de 2018 queríamos oferecer MUITO mais pra você cartoleiro... por isso criamos o Time Guru.  Se você tivesse que assinar vários sites de cartola para ir pegando as informações &quot;soltas&quot;, daria muito, MUITO caro.     O Time Guru oferece o que nenhum outro site tem, INFORMAÇÕES EXCLUSIVAS.   POR EXEMPLO: VALORIZAÇÃO MÍNIMA PARA CADA JOGADOR VALORIZAR.   Isso tudo para que você não precise contar só com a sorte e possa ser o RESPONSÁVEL PELA SUA MITADA!  Por isso, se este ano você está empenhado em  ganhar as ligas que disputa ...  Se você quer saber antes da rodada a valorização esperada e a pontuação esperada para todos os jogadores,  além da  pontuação mínima que cada jogador precisa fazer pra valorizar ,  se você quer ter acesso à  análise detalhada de cada jogador  para escalar seu time com inteligência e segurança  e AINDA se quer ter  seu time avaliado  pela guruzada  e concorrer a CAMISA OFICIAL TODO MÊS e um PLAYSTATION 4 no final do ano... (são só alguns dos prêmios...)  não perca essa oportunidade e clique agora mesmo no link abaixo. VEM PRO TIME!!!  EU QUERO CONHECER O TIME GURU => https://gurudocartola.com/time  SEGREDOS DA VALORIZAÇÃO NA 3&ordf; RODADA => https://youtu.be/mj6omO0BzXE  Confere aí!          Grande abraço,      Luís, do Guru do Cartola                                  .  .  Caso não queira receber nossos e-mails, clique em  sair .    "
48	"3ª RODADA - SELEÇÃO DO GURU"	2018-04-28	969	969	""	908	544	"     Graaaande [Name,fallback=],   Como havia prometido, gravei um vídeo exclusivo para o TIME GURU falando da nossa Seleção para a 3&ordf; rodada.     Vamo que vamo. Galera do Time Guru liderando as ligas desse Brasilzão a fora!!      Espero que você esteja mandando bem e boa sorte na 3&ordf; rodada!     https://youtu.be/0gEm7-pmDII      Grande abraço,          Luís, do Guru do Cartola                                  .  .  Caso não queira receber nossos e-mails, clique em  sair .    "
